Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,System pressure,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,MPa,ml,°C,
0.272,0.03296378,0.34,0.8429286,0.34,0.4754772,0.272,3.422673,0.68,0,0.68,0.08800017,,,,,0.675,6.891867,0.272,0.1241575,1.353,24.06042,
0.274,0.03105968,0.344,1.007442,0.344,0.5547231,0.274,3.422644,0.687,0,0.687,0.08800017,,,,,0.681,6.888038,0.274,0.1240066,1.365,24.05943,
0.277,0.02447522,0.347,1.222844,0.347,0.6722356,0.277,3.422731,0.693,0,0.693,0.08800017,,,,,0.688,6.883781,0.277,0.1240511,1.378,24.05905,
0.28,0.02409736,0.35,1.448941,0.35,0.7811299,0.28,3.422647,0.7,0,0.7,0.08800017,,,,,0.694,6.879024,0.28,0.1240289,1.391,24.05875,
0.282,0.04221399,0.353,1.719851,0.353,0.9130225,0.282,3.422817,0.706,0,0.706,0.08800017,,,,,0.701,6.873777,0.282,0.1244459,1.404,24.05819,
0.285,0.06332123,0.356,2.045502,0.356,1.064548,0.285,3.422699,0.712,0,0.712,0.08800017,,,,,0.707,6.86777,0.285,0.1246079,1.417,24.05822,
0.287,0.06806,0.36,2.394701,0.36,1.228512,0.287,3.422746,0.719,0,0.719,0.08800017,,,,,0.714,6.86139,0.287,0.1242082,1.43,24.0582,
0.29,0.0669762,0.363,2.780532,0.363,1.430734,0.29,3.422747,0.725,0,0.725,0.08800017,,,,,0.72,6.854611,0.29,0.1248439,1.442,24.05878,
0.292,0.08100193,0.366,3.222492,0.366,1.633695,0.292,3.422709,0.732,0,0.732,0.08800017,,,,,0.726,6.847623,0.292,0.1247811,1.455,24.05771,
0.295,0.08799691,0.369,3.71942,0.369,1.882675,0.295,3.422592,0.738,0,0.738,0.08800017,,,,,0.733,6.84043,0.295,0.1248142,1.468,24.05742,
0.297,0.09719975,0.373,4.269834,0.373,2.127202,0.298,3.422699,0.745,0,0.745,0.08800017,,,,,0.739,6.832965,0.297,0.1245542,1.481,24.0578,
0.3,0.1199848,0.376,4.891136,0.376,2.40737,0.3,3.422875,0.751,0,0.751,0.08800017,,,,,0.746,6.825012,0.3,0.1253584,1.494,24.05834,
0.303,0.1398469,0.379,5.561126,0.379,2.727204,0.303,3.422808,0.757,0,0.757,0.08800017,,,,,0.752,6.817236,0.303,0.125195,1.507,24.05874,
0.305,0.1745303,0.382,6.313548,0.382,3.082763,0.305,3.422781,0.764,0,0.764,0.08800017,,,,,0.759,6.809336,0.305,0.1257357,1.52,24.05946,
0.308,0.1978578,0.385,7.154889,0.385,3.461595,0.308,3.423059,0.77,0,0.77,0.08800017,,,,,0.765,6.801584,0.308,0.1256912,1.532,24.06006,
0.31,0.2183324,0.389,8.07566,0.389,3.880393,0.31,3.422974,0.777,0,0.777,0.08800017,,,,,0.771,6.794119,0.31,0.1260757,1.545,24.06084,
0.313,0.2627265,0.392,9.073837,0.392,4.328352,0.313,3.42282,0.783,0,0.783,0.08800017,,,,,0.778,6.786581,0.313,0.1260471,1.558,24.06255,
0.315,0.3141937,0.395,10.16693,0.395,4.822083,0.316,3.422732,0.79,0,0.79,0.08800017,,,,,0.784,6.779786,0.315,0.1259936,1.571,24.06504,
0.318,0.3687277,0.398,11.38203,0.398,5.370022,0.318,3.422695,0.796,0,0.796,0.08800017,,,,,0.791,6.773232,0.318,0.1264511,1.584,24.06717,
0.321,0.4301552,0.401,12.69508,0.401,5.923895,0.321,3.422589,0.802,0,0.802,0.08800017,,,,,0.797,6.767055,0.321,0.1265056,1.597,24.06855,
0.323,0.5061057,0.405,14.11157,0.405,6.567317,0.323,3.422755,0.809,0,0.809,0.08800017,,,,,0.804,6.762619,0.323,0.1266109,1.61,24.07007,
0.326,0.5839795,0.408,15.66084,0.408,7.259218,0.326,3.422754,0.815,0,0.815,0.08800017,,,,,0.81,6.757855,0.326,0.1268975,1.622,24.07137,
0.328,0.6658147,0.411,17.36086,0.411,8.001737,0.328,3.42282,0.822,0,0.822,0.08800017,,,,,0.816,6.753578,0.328,0.1271997,1.635,24.07251,
