Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,Cond temp,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,ml,°C,
0.321,0.0946812,0.4,1.162743,0.4,0.7638696,0.321,3.425353,0.803,0,0.803,0.08800017,,,,,0.803,6.761141,1.603,23.65648,
0.323,0.1026514,0.404,1.345371,0.404,0.8761393,0.323,3.425368,0.809,0,0.809,0.08800017,,,,,0.809,6.754316,1.616,23.6574,
0.326,0.09396616,0.407,1.569936,0.407,1.011892,0.326,3.425474,0.815,0,0.815,0.08800017,,,,,0.816,6.74785,1.629,23.65788,
0.328,0.1134041,0.41,1.815922,0.41,1.163936,0.328,3.425384,0.822,0,0.822,0.08800017,,,,,0.822,6.741781,1.642,23.65828,
0.331,0.1030581,0.413,2.092958,0.413,1.338792,0.331,3.425267,0.828,0,0.828,0.08800017,,,,,0.829,6.73646,1.655,23.65849,
0.334,0.106777,0.416,2.4215,0.416,1.513871,0.334,3.425168,0.835,0,0.835,0.08800017,,,,,0.835,6.731828,1.667,23.65891,
0.336,0.1095075,0.42,2.78489,0.42,1.73143,0.336,3.425109,0.841,0,0.841,0.08800017,,,,,0.841,6.728261,1.68,23.65969,
0.339,0.1181631,0.423,3.210608,0.423,1.975719,0.339,3.425271,0.848,0,0.848,0.08800017,,,,,0.848,6.725509,1.693,23.66073,
0.341,0.1225598,0.426,3.706728,0.426,2.230688,0.341,3.425238,0.854,0,0.854,0.08800017,,,,,0.854,6.722691,1.706,23.66221,
0.344,0.1306517,0.429,4.221619,0.429,2.519782,0.344,3.425148,0.86,0,0.86,0.08800017,,,,,0.861,6.720716,1.719,23.66348,
0.346,0.136768,0.433,4.816926,0.433,2.846777,0.346,3.425267,0.867,0,0.867,0.08800017,,,,,0.867,6.719299,1.732,23.66454,
0.349,0.1551824,0.436,5.513257,0.436,3.210522,0.349,3.425089,0.873,0,0.873,0.08800017,,,,,0.874,6.718173,1.745,23.66539,
0.352,0.1643914,0.439,6.282983,0.439,3.598888,0.352,3.425071,0.88,0,0.88,0.08800017,,,,,0.88,6.717711,1.758,23.66619,
0.354,0.1865079,0.442,7.152938,0.442,4.046943,0.354,3.425054,0.886,0,0.886,0.08800017,,,,,0.887,6.717737,1.77,23.66678,
0.357,0.2031146,0.445,8.119431,0.445,4.537607,0.357,3.425071,0.893,0,0.893,0.08800017,,,,,0.893,6.718122,1.783,23.66824,
0.359,0.2165277,0.449,9.247283,0.449,5.063969,0.359,3.425162,0.899,0,0.899,0.08800017,,,,,0.899,6.719216,1.796,23.66943,
0.362,0.2537791,0.452,10.45928,0.452,5.643826,0.362,3.425052,0.906,0,0.906,0.08800017,,,,,0.906,6.720332,1.809,23.67027,
0.365,0.2859286,0.455,11.81014,0.455,6.28708,0.365,3.425027,0.912,0,0.912,0.08800017,,,,,0.912,6.721663,1.822,23.67139,
0.367,0.3199598,0.458,13.40831,0.458,7.008095,0.367,3.42505,0.918,0,0.918,0.08800017,,,,,0.919,6.723627,1.835,23.67245,
0.37,0.3642057,0.462,15.0865,0.462,7.751632,0.37,3.42501,0.925,0,0.925,0.08800017,,,,,0.925,6.72569,1.848,23.67337,
0.372,0.4166795,0.465,16.94673,0.465,8.5833,0.372,3.424968,0.931,0,0.931,0.08800017,,,,,0.932,6.727839,1.86,23.67452,
0.375,0.4704502,0.468,19.02885,0.468,9.472495,0.375,3.425032,0.938,0,0.938,0.08800017,,,,,0.938,6.729508,1.873,23.67557,
0.377,0.565491,0.471,21.28472,0.471,10.42465,0.377,3.425005,0.944,0,0.944,0.08800017,,,,,0.944,6.731996,1.886,23.67682,
0.38,0.661949,0.474,23.69083,0.474,11.45137,0.38,3.425007,0.951,0,0.951,0.08800017,,,,,0.951,6.735005,1.899,23.67788,
0.383,0.7609769,0.478,26.3637,0.478,12.60932,0.383,3.424909,0.957,0,0.957,0.08800017,,,,,0.957,6.737967,1.912,23.67852,
0.385,0.8617198,0.481,29.22758,0.481,13.78052,0.385,3.425135,0.963,0,0.963,0.08800017,,,,,0.964,6.741057,1.925,23.67924,
0.388,1.000325,0.484,32.34179,0.484,15.0336,0.388,3.425083,0.97,0,0.97,0.08800017,,,,,0.97,6.744442,1.938,23.67938,
0.39,1.135563,0.487,35.65729,0.487,16.39965,0.39,3.42519,0.976,0,0.976,0.08800017,,,,,0.977,6.747775,1.951,23.67942,
0.393,1.298466,0.49,39.32406,0.49,17.84853,0.393,3.425008,0.983,0,0.983,0.08800017,,,,,0.983,6.750936,1.963,23.67932,
0.395,1.492989,0.494,43.36474,0.494,19.39194,0.395,3.425163,0.989,0,0.989,0.08800017,,,,,0.989,6.754441,1.976,23.67928,
0.398,1.711516,0.497,47.60981,0.497,21.09924,0.398,3.425139,0.996,0,0.996,0.08800017,,,,,0.996,6.757927,1.989,23.67947,
0.401,1.941178,0.5,52.29891,0.5,22.98297,0.401,3.425029,1.002,0,1.002,0.08800017,,,,,1.002,6.761216,2.002,23.67972,
0.403,2.197109,0.503,57.48486,0.503,25.00182,0.403,3.424894,1.008,0,1.008,0.08800017,,,,,1.009,6.764872,2.015,23.68061,
0.406,2.499588,0.507,63.06605,0.507,27.19428,0.406,3.42492,1.015,0,1.015,0.08800017,,,,,1.015,6.768386,2.028,23.68134,
