Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,System flow,,Fraction,,Injection,,pH,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,ml/min,ml,Fraction,ml,Injection,ml,,
0.156,0.05715339,0.194,0.04507763,0.194,0.03219127,0.156,3.306979,0.388,0.08800017,,,,,0.388,6.829665,
0.156,0.04591333,0.196,0.04823828,0.196,0.03115828,0.157,3.30704,0.39,0.08800017,,,,,0.39,6.829784,
0.157,0.04018315,0.197,0.05123207,0.197,0.02825445,0.157,3.3071,0.392,0.08800017,,,,,0.392,6.829826,
0.158,0.0446413,0.198,0.0537888,0.198,0.03386651,0.158,3.307032,0.395,0.08800017,,,,,0.394,6.829742,
0.159,0.04873118,0.199,0.05755864,0.199,0.03430916,0.159,3.307042,0.397,0.08800017,,,,,0.397,6.829757,
0.16,0.05622537,0.2,0.05904868,0.2,0.04035424,0.16,3.306995,0.399,0.08800017,,,,,0.399,6.82984,
0.161,0.05980133,0.201,0.04947394,0.201,0.04072356,0.161,3.306991,0.401,0.08800017,,,,,0.401,6.829844,
0.162,0.06102901,0.202,0.04383308,0.202,0.04382899,0.162,3.306949,0.403,0.08800017,,,,,0.403,6.829754,
0.163,0.06350768,0.203,0.04241985,0.203,0.04399516,0.163,3.307027,0.405,0.08800017,,,,,0.405,6.829823,
0.163,0.06228752,0.204,0.04645174,0.204,0.0411888,0.163,3.307044,0.408,0.08800017,,,,,0.407,6.82987,
0.164,0.06157953,0.205,0.0503513,0.205,0.03560722,0.164,3.30698,0.41,0.08800017,,,,,0.41,6.829819,
0.165,0.05891307,0.206,0.04115966,0.206,0.03552471,0.165,3.307015,0.412,0.08800017,,,,,0.412,6.829879,
0.166,0.05818825,0.207,0.04350688,0.207,0.03960842,0.166,3.306939,0.414,0.08800017,,,,,0.414,6.82986,
0.167,0.05745664,0.209,0.05035671,0.209,0.04494928,0.167,3.30703,0.416,0.08800017,,,,,0.416,6.829802,
0.168,0.05962599,0.21,0.06064562,0.21,0.04474413,0.168,3.307001,0.418,0.08800017,,,,,0.418,6.829845,
0.169,0.06401857,0.211,0.07074583,0.211,0.04314733,0.169,3.307001,0.421,0.08800017,,,,,0.42,6.829789,
0.169,0.06359956,0.212,0.06827646,0.212,0.04334692,0.17,3.307082,0.423,0.08800017,,,,,0.423,6.829875,
0.17,0.06254523,0.213,0.0722513,0.213,0.04651951,0.17,3.307168,0.425,0.08800017,,,,,0.425,6.829801,
