Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,PreC pressure,,DeltaC pressure,,Fraction,,Injection,,pH,,System pressure,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,MPa,ml,MPa,ml,Fraction,ml,Injection,ml,,ml,MPa,
1.529,322.3,7.599,2586.545,7.599,1297.421,3.062,14.04834,15.228,100,15.228,16.00003,15.224,0.5929248,15.221,0.3069683,,,,,15.205,7.189019,1.529,0.792253,
1.544,349.2479,7.674,2585.774,7.674,1296.565,3.092,14.04671,15.379,100,15.379,16.00003,15.375,0.5945053,15.371,0.3089915,,,,,15.355,7.171939,1.544,0.7948707,
1.559,375.8145,7.749,2584.594,7.749,1295.184,3.122,14.04526,15.529,100,15.529,16.00003,15.525,0.5977266,15.521,0.312781,,,,,15.506,7.137651,1.559,0.7968217,
1.574,402.3361,7.824,2583.755,7.824,1294.043,3.152,14.04397,15.68,100,15.68,16.00003,15.676,0.5971335,15.672,0.3109469,,,,,15.656,7.076486,1.574,0.7985529,
1.589,429.1408,7.899,2582.907,7.899,1292.966,3.182,14.04276,15.83,100,15.83,16.00003,15.826,0.5943507,15.822,0.3074214,,,,,15.806,6.972143,1.589,0.798849,
1.604,455.8002,7.974,2581.274,7.974,1292.129,3.212,14.04167,15.98,100,15.98,16.00003,15.977,0.5869864,15.973,0.2938244,,,,,15.957,6.84124,1.604,0.7991006,
1.619,482.1396,8.05,2579.129,8.05,1289.824,3.242,14.04061,16.131,100,16.131,16.00003,16.127,0.5787041,16.123,0.2797505,,,,,16.107,6.501333,1.619,0.7992517,
1.634,509.3506,8.125,2575.834,8.125,1284.225,3.272,14.03959,16.281,100,16.281,16.00003,16.277,0.5684961,16.273,0.2642188,,,,,16.257,6.117239,1.634,0.7996508,
1.649,537.3723,8.2,2559.011,8.2,1271.591,3.302,14.03864,16.432,100,16.432,16.00003,16.428,0.5608261,16.424,0.2523448,,,,,16.408,5.648364,1.649,0.8002823,
1.664,572.9968,8.275,2530.617,8.275,1252.939,3.332,14.0378,16.582,100,16.582,16.00003,16.578,0.5583899,16.574,0.2444991,,,,,16.558,5.21986,1.664,0.8011459,
1.679,611.0347,8.35,2474.661,8.35,1222.563,3.362,14.03696,16.733,100,16.733,16.00003,16.729,0.5539411,16.725,0.240415,,,,,16.708,4.88184,1.679,0.8020833,
1.694,649.5461,8.425,2410.199,8.425,1188.569,3.392,14.03612,16.883,100,16.883,16.00003,16.879,0.547895,16.875,0.2378917,,,,,16.859,4.620698,1.694,0.8025575,
1.709,687.9354,8.5,2307.933,8.5,1128.109,3.422,14.03549,17.034,100,17.034,16.00003,17.029,0.5437737,17.025,0.2361506,,,,,17.009,4.425749,1.709,0.8030222,
1.724,725.8087,8.575,2195.028,8.575,1062.991,3.452,14.03489,17.184,100,17.184,16.00003,17.18,0.5401167,17.176,0.2348253,,,,,17.159,4.284774,1.724,0.8034956,
1.739,763.741,8.65,2045.665,8.65,982.1038,3.482,14.03424,17.334,100,17.334,16.00003,17.33,0.5335706,17.326,0.2352983,,,,,17.31,4.160148,1.739,0.804099,
1.754,801.7428,8.726,1878.51,8.726,897.4817,3.512,14.03363,17.485,100,17.485,16.00003,17.481,0.5277513,17.477,0.235325,,,,,17.46,4.073709,1.754,0.80488,
1.769,837.8065,8.801,1689.873,8.801,808.3524,3.542,14.03313,17.635,100,17.635,16.00003,17.631,0.5241283,17.627,0.2346746,,,,,17.61,3.992768,1.769,0.805713,
1.784,872.8998,8.876,1503.385,8.876,719.7415,3.573,14.03257,17.786,100,17.786,16.00003,17.781,0.5218549,17.777,0.2346708,,,,,17.761,3.930125,1.784,0.8065723,
