Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,
ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,
0.298,5.380308,0.371,33.81661,0.298,3.320921,0.742,0,0.742,0.08800017,,,,,0.742,6.572639,
0.3,6.040774,0.374,36.49233,0.3,3.320839,0.747,0,0.747,0.08800017,,,,,0.748,6.566609,
0.302,6.757257,0.376,39.36651,0.302,3.320867,0.753,0,0.753,0.08800017,,,,,0.753,6.561072,
0.304,7.559564,0.379,42.41573,0.304,3.320753,0.758,0,0.758,0.08800017,,,,,0.758,6.555604,
0.306,8.369113,0.382,45.54475,0.306,3.320786,0.763,0,0.763,0.08800017,,,,,0.763,6.550293,
0.308,9.311846,0.384,48.86337,0.308,3.320867,0.768,0,0.768,0.08800017,,,,,0.768,6.545248,
0.31,10.28392,0.387,52.32132,0.31,3.320805,0.773,0,0.773,0.08800017,,,,,0.773,6.540481,
0.312,11.29958,0.389,55.95119,0.312,3.320628,0.778,0,0.778,0.08800017,,,,,0.778,6.535939,
0.314,12.39182,0.392,59.74519,0.314,3.32059,0.783,0,0.783,0.08800017,,,,,0.783,6.532098,
0.316,13.5936,0.394,63.62191,0.316,3.320606,0.788,0,0.788,0.08800017,,,,,0.789,6.527962,
0.318,14.81349,0.397,67.72297,0.318,3.320643,0.794,0,0.794,0.08800017,,,,,0.794,6.523977,
0.321,16.11988,0.399,71.90572,0.321,3.320639,0.799,0,0.799,0.08800017,,,,,0.799,6.520396,
0.323,17.48486,0.402,76.18863,0.323,3.320723,0.804,0,0.804,0.08800017,,,,,0.804,6.517069,
0.325,18.97982,0.405,80.68066,0.325,3.320808,0.809,0,0.809,0.08800017,,,,,0.809,6.513868,
0.327,20.52802,0.407,85.36262,0.327,3.320632,0.814,0,0.814,0.08800017,,,,,0.814,6.51067,
0.329,22.17542,0.41,90.08285,0.329,3.320608,0.819,0,0.819,0.08800017,,,,,0.819,6.508037,
0.331,23.84463,0.412,94.94662,0.331,3.320714,0.824,0,0.824,0.08800017,,,,,0.824,6.505301,
0.333,25.68455,0.415,99.84094,0.333,3.320627,0.829,0,0.829,0.08800017,,,,,0.829,6.502913,
0.335,27.61905,0.417,104.7987,0.335,3.320604,0.835,0,0.835,0.08800017,,,,,0.835,6.500479,
0.337,29.70436,0.42,109.999,0.337,3.320434,0.84,0,0.84,0.08800017,,,,,0.84,6.498458,
0.339,31.84663,0.422,115.373,0.339,3.320472,0.845,0,0.845,0.08800017,,,,,0.845,6.496472,
0.341,34.16096,0.425,120.766,0.341,3.320555,0.85,0,0.85,0.08800017,,,,,0.85,6.494737,
0.343,36.60693,0.428,126.1358,0.343,3.32064,0.855,0,0.855,0.08800017,,,,,0.855,6.493122,
0.345,39.23253,0.43,131.6184,0.345,3.320535,0.86,0,0.86,0.08800017,,,,,0.86,6.491569,
0.347,42.05526,0.433,137.221,0.347,3.320668,0.865,0,0.865,0.08800017,,,,,0.865,6.490216,
0.349,45.13439,0.435,142.6982,0.349,3.32093,0.87,0,0.87,0.08800017,,,,,0.87,6.489092,
0.351,48.29034,0.438,148.1455,0.351,3.320845,0.875,0,0.875,0.08800017,,,,,0.876,6.488039,
0.353,51.81327,0.44,153.7667,0.353,3.320958,0.881,0,0.881,0.08800017,,,,,0.881,6.486971,
0.355,55.4941,0.443,159.4862,0.355,3.321326,0.886,0,0.886,0.08800017,,,,,0.886,6.486296,
0.357,59.43404,0.446,165.2192,0.357,3.321536,0.891,0,0.891,0.08800017,,,,,0.891,6.485715,
0.359,63.63184,0.448,171.4556,0.359,3.32181,0.896,0,0.896,0.08800017,,,,,0.896,6.485321,
0.361,68.04911,0.451,177.4149,0.361,3.322245,0.901,0,0.901,0.08800017,,,,,0.901,6.485082,
0.364,72.70691,0.453,183.2592,0.364,3.322618,0.906,0,0.906,0.08800017,,,,,0.906,6.48494,
0.366,77.71882,0.456,189.115,0.366,3.323208,0.911,0,0.911,0.08800017,,,,,0.911,6.484926,
0.368,83.05125,0.458,194.9385,0.368,3.32384,0.916,0,0.916,0.08800017,,,,,0.916,6.484978,
0.37,88.57174,0.461,200.7653,0.37,3.324725,0.922,0,0.922,0.08800017,,,,,0.922,6.485373,
0.372,94.40777,0.463,206.5857,0.372,3.325702,0.927,0,0.927,0.08800017,,,,,0.927,6.485689,
0.374,100.4841,0.466,212.5061,0.374,3.326998,0.932,0,0.932,0.08800017,,,,,0.932,6.486174,
0.376,106.9985,0.469,218.3437,0.376,3.328277,0.937,0,0.937,0.08800017,,,,,0.937,6.486923,
0.378,113.6781,0.471,224.0393,0.378,3.329882,0.942,0,0.942,0.08800017,,,,,0.942,6.48792,
0.38,120.78,0.474,229.6757,0.38,3.331869,0.947,0,0.947,0.08800017,,,,,0.947,6.488881,
0.382,127.9511,0.476,236.0267,0.382,3.333856,0.952,0,0.952,0.08800017,,,,,0.952,6.489888,
0.384,135.635,0.479,242.3711,0.384,3.336097,0.957,0,0.957,0.08800017,,,,,0.957,6.490856,
0.386,143.2419,0.481,248.1852,0.386,3.338841,0.962,0,0.962,0.08800017,,,,,0.963,6.49242,
0.388,151.3461,0.484,253.6796,0.388,3.341701,0.968,0,0.968,0.08800017,,,,,0.968,6.493864,
0.39,159.615,0.486,259.4548,0.39,3.344975,0.973,0,0.973,0.08800017,,,,,0.973,6.495184,
0.392,168.3875,0.489,265.1568,0.392,3.348567,0.978,0,0.978,0.08800017,,,,,0.978,6.49676,
0.394,177.1795,0.492,270.622,0.394,3.352715,0.983,0,0.983,0.08800017,,,,,0.983,6.498594,
0.396,186.5908,0.494,276.3656,0.396,3.357302,0.988,0,0.988,0.08800017,,,,,0.988,6.500272,
0.398,195.8382,0.497,281.9419,0.398,3.362369,0.993,0,0.993,0.08800017,,,,,0.993,6.502293,
0.4,205.7291,0.499,287.6848,0.4,3.368149,0.998,0,0.998,0.08800017,,,,,0.998,6.504202,
0.402,215.5993,0.502,293.5371,0.402,3.374492,1.003,0,1.003,0.08800017,,,,,1.003,6.506199,
0.404,226.1056,0.504,299.4815,0.404,3.381303,1.009,0,1.009,0.08800017,,,,,1.009,6.508358,
0.407,236.4834,0.507,305.4331,0.407,3.388755,1.014,0,1.014,0.08800017,,,,,1.014,6.510331,
0.409,247.4445,0.509,310.7755,0.409,3.39695,1.019,0,1.019,0.08800017,,,,,1.019,6.512713,
0.411,258.3226,0.512,316.7697,0.411,3.405588,1.024,0,1.024,0.08800017,,,,,1.024,6.514813,
0.413,269.745,0.515,322.5541,0.413,3.415282,1.029,0,1.029,0.08800017,,,,,1.029,6.517258,
0.415,280.4208,0.517,327.9371,0.415,3.425392,1.034,0,1.034,0.08800017,,,,,1.034,6.519476,
0.417,292.0635,0.52,333.445,0.417,3.436675,1.039,0,1.039,0.08800017,,,,,1.039,6.522103,
0.419,303.8651,0.522,338.85,0.419,3.448758,1.044,0,1.044,0.08800017,,,,,1.044,6.524343,
0.421,316.022,0.525,344.7009,0.421,3.462007,1.049,0,1.049,0.08800017,,,,,1.05,6.527031,
0.423,328.1152,0.527,350.2966,0.423,3.476056,1.055,0,1.055,0.08800017,,,,,1.055,6.529295,
0.425,340.6206,0.53,355.8257,0.425,3.491253,1.06,0,1.06,0.08800017,,,,,1.06,6.531968,
0.427,352.9191,0.533,361.1471,0.427,3.507342,1.065,0,1.065,0.08800017,,,,,1.065,6.534321,
0.429,365.7521,0.535,366.6259,0.429,3.524558,1.07,0,1.07,0.08800017,,,,,1.07,6.536651,
0.431,378.4178,0.538,372.1746,0.431,3.543057,1.075,0,1.075,0.08800017,,,,,1.075,6.539011,
0.433,391.3779,0.54,377.5844,0.433,3.562701,1.08,0,1.08,0.08800017,,,,,1.08,6.541784,
0.435,404.1021,0.543,383.3244,0.435,3.583663,1.085,0,1.085,0.08800017,,,,,1.085,6.544162,
0.437,417.3424,0.545,388.8775,0.437,3.605816,1.09,0,1.09,0.08800017,,,,,1.09,6.546886,
0.439,430.5395,0.548,394.4675,0.439,3.629198,1.096,0,1.096,0.08800017,,,,,1.096,6.549206,
0.441,443.912,0.55,400.1237,0.441,3.653694,1.101,0,1.101,0.08800017,,,,,1.101,6.551877,
0.443,457.0782,0.553,405.4589,0.443,3.679829,1.106,0,1.106,0.08800017,,,,,1.106,6.554359,
0.445,470.6881,0.556,410.9038,0.445,3.707247,1.111,0,1.111,0.08800017,,,,,1.111,6.55693,
0.447,484.1375,0.558,416.2666,0.447,3.736154,1.116,0,1.116,0.08800017,,,,,1.116,6.559274,
0.449,497.8185,0.561,421.5708,0.449,3.766056,1.121,0,1.121,0.08800017,,,,,1.121,6.561695,
